Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Chrome 110.0.0.0,,,2023-06-07 14:42:20,2023-06-07 14:43:28,1m - 8.244s,FAILED
,,,,,,,
Test Cases/Day-2/OrangeHRM/OrangeHRM_Post,Chrome 110.0.0.0,,,2023-06-07 14:42:20,2023-06-07 14:42:48,27.859s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 14:42:20,2023-06-07 14:42:27,6.660s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 14:42:27,2023-06-07 14:42:27,0.484s,PASSED
navigateToUrl(OrangeHRM),Chrome 110.0.0.0,,,2023-06-07 14:42:27,2023-06-07 14:42:38,10.630s,PASSED
com.OrangeHRM_Login.Login(),Chrome 110.0.0.0,,,2023-06-07 14:42:38,2023-06-07 14:42:43,4.514s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/a_Buzz""))",Chrome 110.0.0.0,,,2023-06-07 14:42:43,2023-06-07 14:42:45,2.423s,PASSED
"setText(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/textarea_Upcoming Anniversaries_oxd-buzz-po_ec78b5""), ""Nothing Much"")",Chrome 110.0.0.0,,,2023-06-07 14:42:45,2023-06-07 14:42:46,1.401s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/button_Share Photos""))",Chrome 110.0.0.0,,,2023-06-07 14:42:46,2023-06-07 14:42:47,0.487s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/div_Add Photos""))",Chrome 110.0.0.0,,,2023-06-07 14:42:47,2023-06-07 14:42:47,0.593s,PASSED
"click(findTestObject(""Object Repository/Day-2/OrangeHRM/Page_OrangeHRM_Post/button_Share""))",Chrome 110.0.0.0,,,2023-06-07 14:42:47,2023-06-07 14:42:48,0.394s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-07 14:42:48,2023-06-07 14:42:48,0.083s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 14:42:48,2023-06-07 14:42:48,0.005s,PASSED
,,,,,,,
Test Cases/Day-2/OrangeHRM/OrangeHRM_MyInfo,Chrome 110.0.0.0,,,2023-06-07 14:43:26,2023-06-07 14:43:28,1.674s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-07 14:43:27,2023-06-07 14:43:27,0.687s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-07 14:43:27,2023-06-07 14:43:28,0.446s,PASSED
navigateToUrl(OrangeHRM),Chrome 110.0.0.0,,,2023-06-07 14:43:28,2023-06-07 14:43:28,0.488s,FAILED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-07 14:43:28,2023-06-07 14:43:28,0.010s,ERROR
