Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo,Chrome 110.0.0.0,,,2023-06-08 15:36:33,2023-06-08 15:38:17,1m - 43.066s,PASSED
,,,,,,,
Test Cases/Day-2/Saucedemo/Saucedemo_Request_Demosite,Chrome 110.0.0.0,,,2023-06-08 15:36:34,2023-06-08 15:37:46,1m - 12.009s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-08 15:36:34,2023-06-08 15:36:35,1.615s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-06-08 15:36:36,2023-06-08 15:36:36,0.561s,PASSED
navigateToUrl(Saucedemo),Chrome 110.0.0.0,,,2023-06-08 15:36:36,2023-06-08 15:36:37,0.583s,PASSED
"com.Saucedemo_Login.Login(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name"", EndUser, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_password"", Password, ""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button"")",Chrome 110.0.0.0,,,2023-06-08 15:36:37,2023-06-08 15:36:39,2.221s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-08 15:36:39,2023-06-08 15:36:41,2.022s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""), 1)",Chrome 110.0.0.0,,,2023-06-08 15:36:41,2023-06-08 15:36:41,0.506s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 110.0.0.0,,,2023-06-08 15:36:41,2023-06-08 15:36:42,0.474s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/a_About""))",Chrome 110.0.0.0,,,2023-06-08 15:36:42,2023-06-08 15:36:50,8.402s,PASSED
