Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Saucedemo_Login,Chrome 110.0.0.0,,,2023-06-09 16:02:16,2023-06-09 16:02:57,40.986s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Login_Data,Chrome 110.0.0.0,,,2023-06-09 16:02:16,2023-06-09 16:02:27,10.966s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 16:02:16,2023-06-09 16:02:20,3.313s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 110.0.0.0,,,2023-06-09 16:02:20,2023-06-09 16:02:21,0.672s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Accepted usernames arestandard_userlock_0ab16f""))",Chrome 110.0.0.0,,,2023-06-09 16:02:21,2023-06-09 16:02:22,0.468s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 110.0.0.0,,,2023-06-09 16:02:22,2023-06-09 16:02:22,0.923s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Password for all userssecret_sauce""))",Chrome 110.0.0.0,,,2023-06-09 16:02:22,2023-06-09 16:02:23,0.417s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 110.0.0.0,,,2023-06-09 16:02:23,2023-06-09 16:02:24,0.907s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 110.0.0.0,,,2023-06-09 16:02:24,2023-06-09 16:02:24,0.508s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-06-09 16:02:24,2023-06-09 16:02:27,3.038s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-09 16:02:27,2023-06-09 16:02:27,0.097s,PASSED
,,,,,,,
Test Cases/Final_Assignment/Saucedemo/Saucedemo_Login_Data,Chrome 110.0.0.0,,,2023-06-09 16:02:27,2023-06-09 16:02:36,8.083s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-06-09 16:02:28,2023-06-09 16:02:29,1.541s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 110.0.0.0,,,2023-06-09 16:02:29,2023-06-09 16:02:30,0.477s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Accepted usernames arestandard_userlock_0ab16f""))",Chrome 110.0.0.0,,,2023-06-09 16:02:30,2023-06-09 16:02:30,0.443s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 110.0.0.0,,,2023-06-09 16:02:30,2023-06-09 16:02:31,0.874s,PASSED
"click(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/div_Password for all userssecret_sauce""))",Chrome 110.0.0.0,,,2023-06-09 16:02:31,2023-06-09 16:02:31,0.483s,PASSED
"setText(findTestObject(""Object Repository/Assignment/Data_Driven_Testing/Saucedemo_Login/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 110.0.0.0,,,2023-06-09 16:02:31,2023-06-09 16:02:32,0.712s,PASSED
